رقم الاختبار,قراءة السكر (mg/dL),الحالة الفعلية (المرجعية),تصنيف النظام,هل تم إرسال تنبيه؟,وقت معالجة القراءة,زمن إرسال التنبيه (مللي ثانية),دقة التصنيف
TEST-001,50,انخفاض,انخفاض,نعم,2026-09-04 10:15:57,65.09,صحيح
TEST-002,350,انخفاض,ارتفاع,نعم,2026-09-04 10:16:28,65.11,خاطئ
TEST-003,350,انخفاض,ارتفاع,نعم,2026-09-04 10:16:30,65.11,خاطئ
TEST-004,350,انخفاض,ارتفاع,نعم,2026-09-04 10:34:42,50.0,خاطئ
TEST-005,350,انخفاض,ارتفاع,نعم,2026-09-04 10:36:15,50.0,خاطئ
TEST-006,399,انخفاض,ارتفاع,نعم,2026-09-04 10:36:43,50.0,خاطئ
TEST-007,399,انخفاض,ارتفاع,نعم,2026-09-04 10:37:27,50.0,خاطئ
TEST-008,399,انخفاض,ارتفاع,نعم,2026-09-04 10:41:15,50.0,خاطئ
TEST-009,399,انخفاض,ارتفاع,نعم,2026-09-04 10:41:34,50.0,خاطئ
TEST-010,399,انخفاض,ارتفاع,نعم,2026-09-04 10:41:39,50.0,خاطئ
TEST-011,399,انخفاض,ارتفاع,نعم,2026-09-04 10:41:41,50.0,خاطئ
TEST-012,399,طبيعي,ارتفاع,نعم,2026-09-04 10:47:29,50.0,خاطئ
TEST-013,399,طبيعي,ارتفاع,نعم,2026-09-04 10:48:58,50.0,خاطئ
TEST-014,120,انخفاض,طبيعي,لا,2026-09-04 10:51:09,50.0,خاطئ
TEST-015,400,انخفاض,ارتفاع,نعم,2026-09-04 10:53:12,50.0,خاطئ
TEST-016,250,انخفاض,ارتفاع,نعم,2026-09-04 10:53:21,50.0,خاطئ
TEST-017,250,انخفاض,ارتفاع,نعم,2026-09-04 10:54:31,50.0,خاطئ
TEST-018,250,انخفاض,ارتفاع,نعم,2026-09-04 10:54:36,50.0,خاطئ
TEST-019,30,انخفاض,انخفاض,نعم,2026-09-04 10:54:56,50.0,صحيح
TEST-020,30,انخفاض,انخفاض,نعم,2026-09-04 10:55:29,50.0,صحيح
